Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Churn
Female,71,No,Yes,No,No,0,No,0,8,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,Yes
Male,74,No,Yes,No,No,0,No,0,14,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,Yes
Male,77,No,Yes,No,No,0,No,0,12,No Offer,No,No,Yes,DSL,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,Yes
Female,73,No,Yes,No,No,0,No,0,13,No Offer,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,Yes
Female,68,No,Yes,No,No,0,No,0,11,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,Yes
Male,74,No,Yes,Yes,No,0,Yes,1,17,No Offer,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,Yes
Male,65,No,Yes,Yes,No,0,Yes,1,39,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,Yes
Female,73,No,Yes,Yes,No,0,Yes,5,11,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,Yes
Female,74,No,Yes,Yes,No,0,Yes,1,3,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,Yes
Male,80,No,Yes,No,No,0,No,0,21,No Offer,Yes,No,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,Yes
Female,76,No,Yes,No,No,0,No,0,16,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,Yes
Female,73,No,Yes,No,No,0,No,0,46,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,95.25,Yes
Female,70,No,Yes,Yes,No,0,Yes,1,68,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,Yes
Male,75,No,Yes,Yes,No,0,Yes,1,7,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,Yes
Male,74,No,Yes,Yes,No,0,Yes,1,15,No Offer,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,Yes
Male,76,No,Yes,No,No,0,No,0,16,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,Yes
Female,75,No,Yes,No,No,0,No,0,1,Offer E,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,Yes
Female,74,No,Yes,No,No,0,No,0,1,No Offer,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,Yes
Female,73,No,Yes,No,No,0,No,0,13,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,Yes
Female,69,No,Yes,No,No,0,No,0,1,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.2,Yes
Female,75,No,Yes,Yes,No,0,Yes,1,34,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,Yes
Female,65,No,Yes,No,No,0,No,0,4,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.8,Yes
Female,77,No,Yes,No,No,0,No,0,2,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,Yes
Male,67,No,Yes,No,No,0,No,0,9,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.4,Yes
Female,78,No,Yes,No,No,0,No,0,5,No Offer,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.55,Yes
Male,65,No,Yes,No,No,0,No,0,22,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,96.7,Yes
Male,74,No,Yes,No,No,0,No,0,19,Offer D,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,Yes
Male,70,No,Yes,No,No,0,No,0,15,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,Yes
Male,69,No,Yes,No,No,0,No,0,1,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,Yes
Female,76,No,Yes,No,No,0,No,0,1,No Offer,No,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,Yes
Male,71,No,Yes,No,No,0,No,0,10,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,Yes
Female,76,No,Yes,No,No,0,No,0,3,No Offer,Yes,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.0,Yes
Male,77,No,Yes,Yes,No,0,Yes,1,12,Offer D,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,Yes
Male,74,No,Yes,No,No,0,No,0,2,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,Yes
Male,77,No,Yes,No,No,0,No,0,1,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,Yes
Male,76,No,Yes,Yes,No,0,Yes,1,13,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,Yes
Female,77,No,Yes,No,No,0,No,0,23,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,Yes
Female,80,No,Yes,Yes,No,0,Yes,1,17,Offer D,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,Yes
Male,68,No,Yes,No,No,0,No,0,17,No Offer,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.05,Yes
Female,79,No,Yes,No,No,0,No,0,42,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.65,Yes
Male,65,No,Yes,No,No,0,No,0,1,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,Yes
Male,68,No,Yes,No,No,0,No,0,1,Offer E,Yes,No,Yes,Cable,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,Yes
Female,72,No,Yes,No,No,0,No,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,Yes
Female,66,No,Yes,No,No,0,No,0,41,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,113.2,Yes
Male,68,No,Yes,No,No,0,No,0,13,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,90.5,Yes
Male,69,No,Yes,Yes,No,0,Yes,1,32,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.0,Yes
Male,76,No,Yes,Yes,No,0,Yes,1,32,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.3,Yes
Male,70,No,Yes,Yes,No,0,Yes,1,57,No Offer,No,No,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,44.85,Yes
Male,71,No,Yes,No,No,0,No,0,1,Offer E,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.1,Yes
Male,75,No,Yes,No,No,0,No,0,1,Offer E,No,No,Yes,DSL,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,Yes
Female,67,No,Yes,No,No,0,No,0,38,No Offer,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,57.15,Yes
Female,65,No,Yes,Yes,No,0,Yes,1,35,No Offer,Yes,Yes,Yes,Cable,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,Yes
Female,80,No,Yes,No,No,0,No,0,1,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.1,Yes
Male,71,No,Yes,Yes,No,0,Yes,1,30,No Offer,Yes,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.4,Yes
Female,70,No,Yes,No,No,0,No,0,5,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,78.95,Yes
Male,73,No,Yes,No,No,0,No,0,1,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.55,Yes
Male,78,No,Yes,Yes,No,0,Yes,1,58,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,108.85,Yes
Female,76,No,Yes,No,No,0,No,0,16,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,Yes
Female,73,No,Yes,No,No,0,No,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.95,Yes
Female,68,No,Yes,Yes,No,0,Yes,1,5,Offer E,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.0,Yes
Male,79,No,Yes,No,No,0,No,0,21,No Offer,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.8,Yes
Female,67,No,Yes,No,No,0,No,0,43,No Offer,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,108.15,Yes
Female,69,No,Yes,Yes,No,0,Yes,1,32,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.2,Yes
Female,72,No,Yes,No,No,0,No,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.55,Yes
Male,75,No,Yes,Yes,No,0,Yes,1,29,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.5,Yes
Male,67,No,Yes,Yes,No,0,Yes,1,13,No Offer,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,Yes
Male,72,No,Yes,Yes,No,0,Yes,1,7,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.4,Yes
Female,68,No,Yes,No,No,0,No,0,2,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,88.55,Yes
Female,68,No,Yes,No,No,0,No,0,1,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,91.3,Yes
Male,75,No,Yes,Yes,No,0,Yes,1,7,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,70.1,Yes
Male,74,No,Yes,Yes,No,0,Yes,1,57,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,Yes
Female,78,No,Yes,Yes,No,0,Yes,4,1,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.8,Yes
